2025-06-04 12:56:59.473 - Carga_Feed: Inicio: 2025-06-04 12:56:59.473, Fin: 2025-06-04 12:57:00.768, Lat: -17.3762988, Lon: -66.1567196, Comentario: OK
2025-06-04 12:59:14.815 - Carga_Feed: Inicio: 2025-06-04 12:59:14.815, Fin: 2025-06-04 12:59:15.816, Lat: -17.3763269, Lon: -66.1567655, Comentario: OK
2025-06-04 13:10:37.285 - Carga_Feed: Inicio: 2025-06-04 13:10:37.285, Fin: 2025-06-04 13:10:39.745, Lat: -17.3763269, Lon: -66.1567655, Comentario: OK
2025-06-04 13:11:12.911 - Carga_Feed: Inicio: 2025-06-04 13:11:12.911, Fin: 2025-06-04 13:11:13.944, Lat: -17.3763365, Lon: -66.1567675, Comentario: OK
2025-06-04 13:14:15.523 - Carga_Feed: Inicio: 2025-06-04 13:14:15.523, Fin: 2025-06-04 13:14:16.574, Lat: -17.3763365, Lon: -66.1567675, Comentario: OK
2025-06-04 13:15:05.772 - Carga_Feed: Inicio: 2025-06-04 13:15:05.772, Fin: 2025-06-04 13:15:06.809, Lat: -17.3763365, Lon: -66.1567675, Comentario: OK
2025-06-04 13:23:31.577 - Carga_Feed: Inicio: 2025-06-04 13:23:31.577, Fin: 2025-06-04 13:23:33.623, Lat: -17.3763365, Lon: -66.1567675, Comentario: OK
2025-06-04 13:23:57.655 - Carga_Feed: Inicio: 2025-06-04 13:23:57.655, Fin: 2025-06-04 13:24:42.693, Lat: -17.3763368, Lon: -66.1567604, Comentario: Feed no detectado
2025-06-04 13:32:17.431 - Carga_Feed: Inicio: 2025-06-04 13:32:17.431, Fin: 2025-06-04 13:32:18.548, Lat: -17.3763368, Lon: -66.1567604, Comentario: OK
2025-06-04 13:34:03.476 - Carga_Feed: Inicio: 2025-06-04 13:34:03.476, Fin: 2025-06-04 13:34:04.671, Lat: -17.3763399, Lon: -66.1567714, Comentario: OK
2025-06-04 13:40:07.157 - Carga_Feed: Inicio: 2025-06-04 13:40:07.157, Fin: 2025-06-04 13:40:08.004, Lat: -17.3763399, Lon: -66.1567714, Comentario: OK
2025-06-04 13:40:34.463 - Publicacion: Inicio: 2025-06-04 13:40:34.463, Fin: 2025-06-04 13:40:36.745, Lat: -17.3763581, Lon: -66.1567808, Comentario: OK
2025-06-04 13:40:52.501 - Ms_Texto: Inicio: 2025-06-04 13:40:52.501, Fin: 2025-06-04 13:40:58.690, Lat: -17.3763581, Lon: -66.1567808, Comentario: OK
2025-06-04 13:41:10.900 - Ms_Foto: Inicio: 2025-06-04 13:41:10.900, Fin: 2025-06-04 13:41:14.155, Lat: -17.3763581, Lon: -66.1567808, Comentario: OK
2025-06-04 13:41:20.745 - Ms_Video: Inicio: 2025-06-04 13:41:20.745, Fin: 2025-06-04 13:41:43.567, Lat: -17.3763581, Lon: -66.1567808, Comentario: OK
2025-06-04 13:42:08.628 - Carga_Feed: Inicio: 2025-06-04 13:42:08.628, Fin: 2025-06-04 13:42:09.749, Lat: -17.3763581, Lon: -66.1567808, Comentario: OK
2025-06-04 14:33:04.762 - Carga_Feed: Inicio: 2025-06-04 14:33:04.762, Fin: 2025-06-04 14:33:05.975, Lat: -17.3763581, Lon: -66.1567808, Comentario: OK
2025-06-04 14:33:34.127 - Publicacion: Inicio: 2025-06-04 14:33:34.127, Fin: 2025-06-04 14:33:36.292, Lat: -17.3763018, Lon: -66.1567009, Comentario: OK
2025-06-04 14:33:52.219 - Ms_Texto: Inicio: 2025-06-04 14:33:52.219, Fin: 2025-06-04 14:33:58.337, Lat: -17.3763018, Lon: -66.1567009, Comentario: OK
2025-06-04 14:34:10.284 - Ms_Foto: Inicio: 2025-06-04 14:34:10.284, Fin: 2025-06-04 14:34:13.634, Lat: -17.3763018, Lon: -66.1567009, Comentario: OK
2025-06-04 14:34:22.177 - Ms_Video: Inicio: 2025-06-04 14:34:22.177, Fin: 2025-06-04 14:34:44.194, Lat: -17.3763018, Lon: -66.1567009, Comentario: OK
2025-06-04 14:40:01.258 - Carga_Feed: Inicio: 2025-06-04 14:40:01.258, Fin: 2025-06-04 14:40:02.285, Lat: -17.3763018, Lon: -66.1567009, Comentario: OK
2025-06-04 14:40:29.114 - Publicacion: Inicio: 2025-06-04 14:40:29.114, Fin: 2025-06-04 14:40:31.657, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:40:47.217 - Ms_Texto: Inicio: 2025-06-04 14:40:47.217, Fin: 2025-06-04 14:40:52.690, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:41:05.294 - Ms_Foto: Inicio: 2025-06-04 14:41:05.294, Fin: 2025-06-04 14:41:08.586, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:41:16.978 - Ms_Video: Inicio: 2025-06-04 14:41:16.978, Fin: 2025-06-04 14:41:16.987, Lat: -17.3763442, Lon: -66.1567516, Comentario: Fail
2025-06-04 14:42:47.160 - Carga_Feed: Inicio: 2025-06-04 14:42:47.160, Fin: 2025-06-04 14:42:48.268, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:43:10.405 - Publicacion: Inicio: 2025-06-04 14:43:10.405, Fin: 2025-06-04 14:43:14.264, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:43:22.904 - Ms_Texto: Inicio: 2025-06-04 14:43:22.904, Fin: 2025-06-04 14:43:29.230, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:43:35.797 - Ms_Foto: Inicio: 2025-06-04 14:43:35.797, Fin: 2025-06-04 14:43:39.083, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:43:47.416 - Ms_Video: Inicio: 2025-06-04 14:43:47.416, Fin: 2025-06-04 14:44:11.794, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-04 14:45:17.728 - Carga_Feed: Inicio: 2025-06-04 14:45:17.728, Fin: 2025-06-04 14:45:26.124, Lat: -17.3763442, Lon: -66.1567516, Comentario: OK
2025-06-05 06:55:05.052 - Carga_Feed: Inicio: 2025-06-05 06:55:05.052, Fin: 2025-06-05 06:55:06.635, Lat: -17.3763421, Lon: -66.1567629, Comentario: OK
2025-06-05 06:55:33.578 - Publicacion: Inicio: 2025-06-05 06:55:33.578, Fin: 2025-06-05 06:55:36.482, Lat: -17.3763421, Lon: -66.1567629, Comentario: OK
2025-06-05 06:55:51.650 - Ms_Texto: Inicio: 2025-06-05 06:55:51.650, Fin: 2025-06-05 06:55:58.275, Lat: -17.3763421, Lon: -66.1567629, Comentario: OK
2025-06-05 06:56:09.725 - Ms_Foto: Inicio: 2025-06-05 06:56:09.725, Fin: 2025-06-05 06:56:12.829, Lat: -17.3763421, Lon: -66.1567629, Comentario: OK
2025-06-05 06:56:21.173 - Ms_Video: Inicio: 2025-06-05 06:56:21.173, Fin: 2025-06-05 06:56:43.965, Lat: -17.3763421, Lon: -66.1567629, Comentario: OK
2025-06-05 06:57:10.113 - Carga_Feed: Inicio: 2025-06-05 06:57:10.113, Fin: 2025-06-05 06:57:11.094, Lat: -17.3763421, Lon: -66.1567629, Comentario: OK
2025-06-05 10:10:58.325 - Carga_Feed: Inicio: 2025-06-05 10:10:58.325, Fin: 2025-06-05 10:11:00.657, Lat: -17.3762661, Lon: -66.1566977, Comentario: OK
2025-06-05 10:11:26.707 - Publicacion: Inicio: 2025-06-05 10:11:26.707, Fin: 2025-06-05 10:11:28.786, Lat: -17.3762661, Lon: -66.1566977, Comentario: OK
2025-06-05 10:11:44.807 - Ms_Texto: Inicio: 2025-06-05 10:11:44.807, Fin: 2025-06-05 10:12:19.109, Lat: -17.3763173, Lon: -66.1567392, Comentario: Fail
2025-06-05 10:12:25.400 - Ms_Foto: Inicio: 2025-06-05 10:12:25.400, Fin: 2025-06-05 10:13:28.467, Lat: -17.3763173, Lon: -66.1567392, Comentario: Fail
2025-06-05 10:13:36.688 - Ms_Video: Inicio: 2025-06-05 10:13:36.688, Fin: 2025-06-05 10:14:41.896, Lat: -17.3763173, Lon: -66.1567392, Comentario: Fail
