App;RED;Type;Latitud;Longitud;Fecha Hora Inicio;Fecha Hora Fin;Estado;Causa de falla;Tamanio de archivo (MB)
FB;WIFI;Carga feed;-17.3761965;-66.1567173;2025-06-23 11:46:25;2025-06-23 11:46:26;exitoso;;
FB;WIFI;Publicar historia;-17.3762805;-66.1567632;2025-06-23 11:46:42;2025-06-23 11:46:50;exitoso;;2 MB
FB;WIFI;Reproduccion video corto;-17.3762805;-66.1567632;2025-06-23 11:46:51;2025-06-23 11:47:06;exitoso;;
FB;WIFI;Envio de mensaje;-17.3762805;-66.1567632;2025-06-23 11:47:20;2025-06-23 11:47:24;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3762485;-66.156743;2025-06-23 11:47:27;2025-06-23 11:47:32;exitoso;;0 MB
FB;WIFI;Envio de video;-17.3762485;-66.156743;2025-06-23 11:47:37;2025-06-23 11:47:41;exitoso;;0 MB
FB;WIFI;Envio de documento;-17.3762485;-66.156743;2025-06-23 11:47:45;2025-06-23 11:47:59;fallido;Time Out;0 MB
FB;WIFI;Carga feed;-17.3762485;-66.156743;2025-06-23 11:48:06;2025-06-23 11:48:09;exitoso;;
FB;WIFI;Publicar historia;-17.3762485;-66.156743;2025-06-23 11:48:25;2025-06-23 11:48:30;exitoso;;2 MB
FB;WIFI;Reproduccion video corto;-17.3763129;-66.1568031;2025-06-23 11:48:31;2025-06-23 11:48:48;exitoso;;
FB;WIFI;Carga feed;-17.3763129;-66.1568031;2025-06-23 11:49:01;2025-06-23 11:49:01;exitoso;;
FB;SIN_RED;Carga feed;-17.3761398;-66.156841;2025-06-23 13:36:10;2025-06-23 13:36:10;fallido;Sin red;
FB;SIN_RED;Publicar historia;-17.3761398;-66.156841;2025-06-23 13:36:29;2025-06-23 13:36:29;fallido;Sin red;0 MB
FB;SIN_RED;Publicar historia;-17.3761398;-66.156841;2025-06-23 13:36:29;2025-06-23 13:36:29;fallido;Sin red;0 MB
FB;MOBILE;Reproduccion video corto;-17.3761398;-66.156841;2025-06-23 13:36:33;2025-06-23 13:36:50;exitoso;;
FB;MOBILE;Carga feed;-17.3761398;-66.156841;2025-06-23 13:37:07;2025-06-23 13:37:08;exitoso;;
FB;MOBILE;Publicar historia;-17.3762118;-66.1569014;2025-06-23 13:37:23;2025-06-23 13:37:29;exitoso;;2 MB
FB;MOBILE;Reproduccion video corto;-17.3762118;-66.1569014;2025-06-23 13:37:33;2025-06-23 13:37:49;exitoso;;
FB;MOBILE;Envio de mensaje;-17.3762118;-66.1569014;2025-06-23 13:38:06;2025-06-23 13:38:10;exitoso;;4 caracteres
FB;MOBILE;Envio de foto;-17.3762118;-66.1569014;2025-06-23 13:38:12;2025-06-23 13:38:18;exitoso;;0 MB
FB;MOBILE;Envio de video;-17.3737356;-66.1570242;2025-06-23 13:38:23;2025-06-23 13:38:27;exitoso;;0 MB
FB;MOBILE;Envio de documento;-17.3737356;-66.1570242;2025-06-23 13:38:31;2025-06-23 13:38:44;fallido;Time Out;0 MB
FB;MOBILE;Carga feed;-17.3737356;-66.1570242;2025-06-23 13:38:51;2025-06-23 13:38:52;exitoso;;
FB;MOBILE;Publicar historia;-17.3737356;-66.1570242;2025-06-23 13:39:10;2025-06-23 13:39:15;exitoso;;2 MB
FB;MOBILE;Carga feed;-17.3735598;-66.1590849;2025-06-23 13:40:32;2025-06-23 13:40:33;exitoso;;
FB;MOBILE;Carga feed;-17.3722812;-66.1639869;2025-06-23 13:47:19;2025-06-23 13:47:20;exitoso;;
FB;MOBILE;Publicar historia;-17.3722812;-66.1639869;2025-06-23 13:47:36;2025-06-23 13:47:40;exitoso;;2 MB
FB;MOBILE;Reproduccion video corto;-17.3722812;-66.1639869;2025-06-23 13:47:41;2025-06-23 13:47:58;exitoso;;
FB;MOBILE;Envio de mensaje;-17.3722812;-66.1639869;2025-06-23 13:48:14;2025-06-23 13:48:18;exitoso;;4 caracteres
FB;MOBILE;Envio de foto;-17.3723628;-66.1648561;2025-06-23 13:48:20;2025-06-23 13:48:26;exitoso;;0 MB
FB;MOBILE;Envio de video;-17.3723628;-66.1648561;2025-06-23 13:48:31;2025-06-23 13:48:35;exitoso;;0 MB
FB;MOBILE;Envio de documento;-17.3723628;-66.1648561;2025-06-23 13:48:39;2025-06-23 13:48:50;exitoso;;1.27 MB
FB;MOBILE;Carga feed;-17.3723628;-66.1648561;2025-06-23 13:48:58;2025-06-23 13:48:59;exitoso;;
FB;MOBILE;Publicar historia;-17.3723628;-66.1648561;2025-06-23 13:49:17;2025-06-23 13:49:22;exitoso;;2 MB
FB;MOBILE;Reproduccion video corto;-17.3723628;-66.1648561;2025-06-23 13:49:23;2025-06-23 13:49:40;exitoso;;
FB;MOBILE;Envio de mensaje;-17.3688699;-66.1648302;2025-06-23 13:49:56;2025-06-23 13:50:00;exitoso;;4 caracteres
FB;MOBILE;Envio de foto;-17.3688699;-66.1648302;2025-06-23 13:50:02;2025-06-23 13:50:09;exitoso;;0 MB
FB;MOBILE;Envio de video;-17.3688699;-66.1648302;2025-06-23 13:50:14;2025-06-23 13:50:18;exitoso;;0 MB
FB;MOBILE;Envio de documento;-17.3688699;-66.1648302;2025-06-23 13:50:21;2025-06-23 13:50:27;exitoso;;1.27 MB
FB;MOBILE;Carga feed;-17.3682471;-66.1665963;2025-06-23 13:50:34;2025-06-23 13:50:35;exitoso;;
FB;MOBILE;Publicar historia;-17.3682471;-66.1665963;2025-06-23 13:50:51;2025-06-23 13:50:55;exitoso;;2 MB
FB;MOBILE;Reproduccion video corto;-17.3682471;-66.1665963;2025-06-23 13:50:56;2025-06-23 13:51:13;exitoso;;
FB;MOBILE;Envio de mensaje;-17.3682471;-66.1665963;2025-06-23 13:51:30;2025-06-23 13:51:35;exitoso;;4 caracteres
FB;MOBILE;Envio de foto;-17.3674699;-66.1677273;2025-06-23 13:51:37;2025-06-23 13:51:44;exitoso;;0 MB
FB;MOBILE;Envio de video;-17.3674699;-66.1677273;2025-06-23 13:51:49;2025-06-23 13:51:53;exitoso;;0 MB
FB;MOBILE;Envio de documento;-17.3674699;-66.1677273;2025-06-23 13:51:56;2025-06-23 13:52:02;exitoso;;1.27 MB
FB;MOBILE;Carga feed;-17.3674699;-66.1677273;2025-06-23 13:52:09;2025-06-23 13:52:10;exitoso;;
FB;MOBILE;Publicar historia;-17.3674699;-66.1677273;2025-06-23 13:52:25;2025-06-23 13:52:31;exitoso;;2 MB
FB;MOBILE;Reproduccion video corto;-17.3674699;-66.1677273;2025-06-23 13:52:32;2025-06-23 13:52:48;exitoso;;
FB;MOBILE;Envio de mensaje;-17.3667186;-66.1660051;2025-06-23 13:53:07;2025-06-23 13:53:12;exitoso;;4 caracteres
FB;MOBILE;Envio de foto;-17.3667186;-66.1660051;2025-06-23 13:53:14;2025-06-23 13:53:21;exitoso;;0 MB
