App,Red,tipo_variable,tipo_contenido,Lat. Inicio (inicio app o inicio envio_contenido),Long. Inicio (inicio app o inicio envio_contenido),fecha_hora_inicio_enviado,fecha_hora_fin_enviado,fecha_hora_inicio_entregado,fecha_hora_fin_entregado,Tamano archivo (MB),RESULTADO
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3762759,-66.1567392,23/06/2025 11:45:37,23/06/2025 11:45:42,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3762759,-66.1567392,23/06/2025 11:45:50,23/06/2025 11:45:53,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3763027,-66.1567577,23/06/2025 11:46:01,23/06/2025 11:46:03,23/06/2025 11:46:03,23/06/2025 11:46:03,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3763027,-66.1567577,23/06/2025 11:46:11,23/06/2025 11:46:18,23/06/2025 11:46:20,23/06/2025 11:46:20,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3763027,-66.1567577,23/06/2025 11:46:27,n/a,n/a,n/a,14.0,Timeout
Whatsapp,MOBILE,envio_contenido,documento,-17.3763027,-66.1567577,23/06/2025 11:46:51,23/06/2025 11:46:56,23/06/2025 11:46:57,23/06/2025 11:46:57,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3762387,-66.156733,23/06/2025 11:47:27,23/06/2025 11:47:30,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3762387,-66.156733,23/06/2025 11:47:38,23/06/2025 11:47:40,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3762387,-66.156733,23/06/2025 11:47:48,23/06/2025 11:47:50,23/06/2025 11:47:50,23/06/2025 11:47:50,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.376212,-66.1567096,23/06/2025 11:47:58,23/06/2025 11:48:00,23/06/2025 11:48:00,23/06/2025 11:48:00,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.376212,-66.1567096,23/06/2025 11:48:08,23/06/2025 11:48:10,23/06/2025 11:48:10,23/06/2025 11:48:10,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.376212,-66.1567096,23/06/2025 11:48:18,23/06/2025 11:48:20,23/06/2025 11:48:20,23/06/2025 11:48:20,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.376212,-66.1567096,23/06/2025 11:48:50,23/06/2025 11:48:53,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.376212,-66.1567096,23/06/2025 11:49:01,23/06/2025 11:49:05,,,n/a,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3762481,-66.156923,23/06/2025 13:36:11,23/06/2025 13:36:15,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3762481,-66.156923,23/06/2025 13:36:22,23/06/2025 13:36:24,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3762481,-66.156923,23/06/2025 13:36:32,23/06/2025 13:36:34,23/06/2025 13:36:36,23/06/2025 13:36:36,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3762481,-66.156923,23/06/2025 13:36:43,23/06/2025 13:36:45,23/06/2025 13:36:45,23/06/2025 13:36:45,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3762481,-66.156923,23/06/2025 13:36:52,23/06/2025 13:36:54,23/06/2025 13:36:54,23/06/2025 13:36:54,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3762481,-66.156923,23/06/2025 13:37:02,23/06/2025 13:37:04,23/06/2025 13:37:04,23/06/2025 13:37:04,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3755574,-66.1569065,23/06/2025 13:37:34,23/06/2025 13:38:09,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3755574,-66.1569065,23/06/2025 13:38:43,23/06/2025 13:38:43,,,n/a,ERROR
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3724271,-66.1638552,23/06/2025 13:47:22,23/06/2025 13:47:25,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3724271,-66.1638552,23/06/2025 13:47:32,23/06/2025 13:47:35,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3724809,-66.1639918,23/06/2025 13:48:50,23/06/2025 13:48:52,23/06/2025 13:48:55,23/06/2025 13:48:55,14.0,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3686439,-66.1647778,23/06/2025 13:49:57,23/06/2025 13:50:00,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3686439,-66.1647778,23/06/2025 13:50:07,23/06/2025 13:50:10,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3686439,-66.1647778,23/06/2025 13:50:17,23/06/2025 13:50:20,23/06/2025 13:50:20,23/06/2025 13:50:20,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3686439,-66.1647778,23/06/2025 13:50:27,23/06/2025 13:50:29,23/06/2025 13:50:29,23/06/2025 13:50:29,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3682285,-66.1669614,23/06/2025 13:50:38,23/06/2025 13:50:39,23/06/2025 13:50:39,23/06/2025 13:50:39,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3682285,-66.1669614,23/06/2025 13:50:46,23/06/2025 13:50:48,23/06/2025 13:50:48,23/06/2025 13:50:48,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3682285,-66.1669614,23/06/2025 13:51:18,23/06/2025 13:51:21,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3682285,-66.1669614,23/06/2025 13:51:28,23/06/2025 13:51:38,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3657672,-66.1679272,23/06/2025 13:51:46,23/06/2025 13:51:48,23/06/2025 13:51:49,23/06/2025 13:51:49,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3657672,-66.1679272,23/06/2025 13:51:56,23/06/2025 13:51:58,23/06/2025 13:51:58,23/06/2025 13:51:58,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3657672,-66.1679272,23/06/2025 13:52:06,23/06/2025 13:52:08,23/06/2025 13:52:08,23/06/2025 13:52:08,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3657672,-66.1679272,23/06/2025 13:52:15,23/06/2025 13:52:16,23/06/2025 13:52:16,23/06/2025 13:52:16,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3670271,-66.1658556,23/06/2025 13:52:47,23/06/2025 13:52:50,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3670271,-66.1658556,23/06/2025 13:52:57,23/06/2025 13:53:06,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3670271,-66.1658556,23/06/2025 13:53:14,23/06/2025 13:53:16,23/06/2025 13:53:16,23/06/2025 13:53:16,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3670271,-66.1658556,23/06/2025 13:53:23,23/06/2025 13:53:25,23/06/2025 13:53:25,23/06/2025 13:53:25,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3670271,-66.1658556,23/06/2025 13:53:32,23/06/2025 13:53:34,23/06/2025 13:53:34,23/06/2025 13:53:34,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3689199,-66.1635955,23/06/2025 13:53:41,23/06/2025 13:53:43,23/06/2025 13:53:43,23/06/2025 13:53:43,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3689199,-66.1635955,23/06/2025 13:54:13,23/06/2025 13:54:16,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3689199,-66.1635955,23/06/2025 13:54:23,23/06/2025 13:54:32,,,n/a,Timeout
Whatsapp,MOBILE,envio_contenido,texto,-17.3671676,-66.1624477,23/06/2025 13:54:39,23/06/2025 13:54:42,23/06/2025 13:54:45,23/06/2025 13:54:45,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3671676,-66.1624477,23/06/2025 13:54:53,n/a,n/a,n/a,3.3,Timeout
Whatsapp,MOBILE,envio_contenido,video,-17.3671676,-66.1624477,23/06/2025 13:55:08,23/06/2025 13:55:11,23/06/2025 13:55:11,23/06/2025 13:55:11,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3671676,-66.1624477,23/06/2025 13:55:18,n/a,n/a,n/a,1.2,Timeout
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3684191,-66.1600181,23/06/2025 13:55:57,23/06/2025 13:56:01,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3684191,-66.1600181,23/06/2025 13:56:09,23/06/2025 13:56:12,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3684191,-66.1600181,23/06/2025 13:56:19,23/06/2025 13:56:21,23/06/2025 13:56:21,23/06/2025 13:56:21,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3684191,-66.1600181,23/06/2025 13:56:28,23/06/2025 13:56:30,23/06/2025 13:56:30,23/06/2025 13:56:30,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3697368,-66.1577521,23/06/2025 13:56:38,23/06/2025 13:56:40,23/06/2025 13:56:41,23/06/2025 13:56:41,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3697368,-66.1577521,23/06/2025 13:56:48,23/06/2025 13:56:50,23/06/2025 13:56:50,23/06/2025 13:56:50,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3697368,-66.1577521,23/06/2025 13:57:20,23/06/2025 13:57:23,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3697368,-66.1577521,23/06/2025 13:57:31,23/06/2025 13:57:40,,,n/a,Timeout
Whatsapp,MOBILE,envio_contenido,texto,-17.3700266,-66.1559597,23/06/2025 13:57:47,23/06/2025 13:57:50,23/06/2025 13:57:52,23/06/2025 13:57:52,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3700266,-66.1559597,23/06/2025 13:58:00,23/06/2025 13:58:02,23/06/2025 13:58:02,23/06/2025 13:58:02,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3700266,-66.1559597,23/06/2025 13:58:09,23/06/2025 13:58:11,23/06/2025 13:58:11,23/06/2025 13:58:11,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3700266,-66.1559597,23/06/2025 13:58:19,23/06/2025 13:58:20,23/06/2025 13:58:20,23/06/2025 13:58:20,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3704972,-66.1535799,23/06/2025 13:58:51,23/06/2025 13:58:55,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3704972,-66.1535799,23/06/2025 13:59:02,23/06/2025 13:59:05,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3704972,-66.1535799,23/06/2025 13:59:13,23/06/2025 13:59:14,23/06/2025 13:59:16,23/06/2025 13:59:16,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3704972,-66.1535799,23/06/2025 13:59:24,23/06/2025 13:59:26,23/06/2025 13:59:26,23/06/2025 13:59:26,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3704972,-66.1535799,23/06/2025 13:59:34,23/06/2025 13:59:36,23/06/2025 13:59:36,23/06/2025 13:59:36,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.371611,-66.1518107,23/06/2025 13:59:43,23/06/2025 13:59:45,23/06/2025 13:59:45,23/06/2025 13:59:45,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.371611,-66.1518107,23/06/2025 14:00:16,23/06/2025 14:00:20,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.371611,-66.1518107,23/06/2025 14:00:27,23/06/2025 14:00:36,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.372771,-66.1494078,23/06/2025 14:00:43,23/06/2025 14:00:46,23/06/2025 14:00:47,23/06/2025 14:00:47,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.372771,-66.1494078,23/06/2025 14:00:54,23/06/2025 14:00:56,23/06/2025 14:00:56,23/06/2025 14:00:56,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.372771,-66.1494078,23/06/2025 14:01:04,23/06/2025 14:01:06,23/06/2025 14:01:06,23/06/2025 14:01:06,14.0,Entregado
