App,Network,KPI,Contact,Latitude,Longitude,Start,End,Result,Failure,Extra
WhatsApp,Mobile,CST,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:29:51,2025-08-27 07:29:55,Successful,,setup_s=0.36;trigger=A:label
WhatsApp,Mobile,CSFR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:29:51,2025-08-27 07:29:55,Successful,,incoming_on_B:fullscreen
WhatsApp,Mobile,CST,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:30:01,2025-08-27 07:30:04,Successful,,setup_s=0.36;trigger=A:label
WhatsApp,Mobile,CSFR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:30:01,2025-08-27 07:30:04,Successful,,incoming_on_B:fullscreen
WhatsApp,Mobile,CDR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:30:10,2025-08-27 07:30:49,Successful,,held_s=30
WhatsApp,Mobile,CST,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:30:57,2025-08-27 07:31:01,Successful,,setup_s=0.42;trigger=A:label
WhatsApp,Mobile,CSFR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:30:57,2025-08-27 07:31:01,Successful,,incoming_on_B:fullscreen
WhatsApp,Mobile,CDR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:31:06,2025-08-27 07:31:45,Successful,,held_s=30
WhatsApp,Mobile,CDR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:31:53,2025-08-27 07:32:37,Successful,,held_s=30
WhatsApp,Mobile,CDR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:32:43,2025-08-27 07:33:26,Successful,,held_s=30
WhatsApp,Mobile,CST,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:33:37,2025-08-27 07:33:41,Successful,,setup_s=0.36;trigger=A:label
WhatsApp,Mobile,CSFR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:33:37,2025-08-27 07:33:41,Successful,,incoming_on_B:fullscreen
WhatsApp,Mobile,CST,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:33:48,2025-08-27 07:33:51,Successful,,setup_s=0.33;trigger=A:label
WhatsApp,Mobile,CSFR,vast_wb,-17.3762468,-66.1567197,2025-08-27 07:33:48,2025-08-27 07:33:51,Successful,,incoming_on_B:fullscreen
