App;RED;Type;Latitud;Longitud;Fecha Hora Inicio;Fecha Hora Fin;Estado;Causa de falla;Tamanio de archivo (MB)
FB;WIFI;Carga feed;-17.3763477;-66.1567688;2025-06-06 11:41:08;2025-06-06 11:41:15;exitoso;;
FB;WIFI;Publicar historia;-17.3763165;-66.1567415;2025-06-06 11:41:33;2025-06-06 11:41:39;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763165;-66.1567415;2025-06-06 11:41:52;2025-06-06 11:41:54;exitoso;;
FB;WIFI;Carga feed;-17.3763165;-66.1567415;2025-06-06 11:42:26;2025-06-06 11:42:30;fallido;Elemento no encontrado;
FB;WIFI;Carga feed;-17.3762461;-66.1567006;2025-06-06 11:42:51;2025-06-06 11:42:53;exitoso;;
FB;WIFI;Publicar historia;-17.3762461;-66.1567006;2025-06-06 11:43:11;2025-06-06 11:43:15;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763391;-66.1567964;2025-06-06 11:43:56;2025-06-06 11:44:00;fallido;Elemento no encontrado;
FB;WIFI;Carga feed;-17.3763391;-66.1567964;2025-06-06 11:44:20;2025-06-06 11:44:24;exitoso;;
FB;WIFI;Publicar historia;-17.3763687;-66.1567998;2025-06-06 11:44:40;2025-06-06 11:44:46;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763687;-66.1567998;2025-06-06 11:44:57;2025-06-06 11:45:01;fallido;Elemento no encontrado;
FB;WIFI;Publicar historia;-17.3763687;-66.1567998;2025-06-06 11:45:19;2025-06-06 11:45:23;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763618;-66.1568094;2025-06-06 11:45:32;2025-06-06 11:45:36;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763618;-66.1568094;2025-06-06 11:45:38;2025-06-06 11:45:43;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763618;-66.1568094;2025-06-06 11:45:47;2025-06-06 11:45:51;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763618;-66.1568094;2025-06-06 11:45:56;2025-06-06 11:46:00;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763618;-66.1568094;2025-06-06 11:46:09;2025-06-06 11:46:13;exitoso;;
FB;WIFI;Publicar historia;-17.3763618;-66.1568094;2025-06-06 11:46:30;2025-06-06 11:46:36;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763208;-66.1567538;2025-06-06 11:46:49;2025-06-06 11:46:50;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763208;-66.1567538;2025-06-06 11:46:53;2025-06-06 11:46:56;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763208;-66.1567538;2025-06-06 11:47:00;2025-06-06 11:47:04;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763208;-66.1567538;2025-06-06 11:47:07;2025-06-06 11:47:11;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 14:45:33;2025-06-09 14:45:34;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 14:45:52;2025-06-09 14:46:14;fallido;Time Out;0 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 14:46:27;2025-06-09 14:46:29;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 14:46:31;2025-06-09 14:46:35;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 14:46:38;2025-06-09 14:46:42;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 14:46:46;2025-06-09 14:46:57;fallido;Time Out;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 14:47:04;2025-06-09 14:47:06;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 14:47:24;2025-06-09 14:47:27;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 14:47:38;2025-06-09 14:47:40;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 14:47:42;2025-06-09 14:47:46;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 14:47:50;2025-06-09 14:47:54;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 14:47:58;2025-06-09 14:48:09;fallido;Time Out;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 14:56:54;2025-06-09 14:56:57;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 14:57:17;2025-06-09 14:57:20;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 14:57:33;2025-06-09 14:57:35;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 14:57:38;2025-06-09 14:57:41;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 14:57:45;2025-06-09 14:57:49;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 14:57:52;2025-06-09 14:58:03;fallido;Time Out;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 14:58:11;2025-06-09 14:58:12;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 14:58:28;2025-06-09 14:58:32;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 14:58:44;2025-06-09 14:58:45;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 14:58:49;2025-06-09 14:58:50;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 14:58:54;2025-06-09 14:58:59;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 14:59:03;2025-06-09 14:59:14;fallido;Time Out;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 14:59:21;2025-06-09 14:59:23;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:00:29;2025-06-09 15:00:32;fallido;Elemento no encontrado;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:00:43;2025-06-09 15:00:44;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:01:01;2025-06-09 15:01:04;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:01:17;2025-06-09 15:01:19;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 15:01:21;2025-06-09 15:01:25;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 15:01:28;2025-06-09 15:01:32;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 15:01:35;2025-06-09 15:01:39;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:01:47;2025-06-09 15:01:48;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:02:05;2025-06-09 15:02:09;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:02:22;2025-06-09 15:02:24;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 15:02:27;2025-06-09 15:02:30;exitoso;;2 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 15:02:35;2025-06-09 15:02:39;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 15:02:42;2025-06-09 15:02:45;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:19:51;2025-06-09 15:19:53;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:24:42;2025-06-09 15:24:43;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:25:01;2025-06-09 15:25:05;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:25:18;2025-06-09 15:25:20;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 15:25:22;2025-06-09 15:25:27;exitoso;;file
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 15:25:31;2025-06-09 15:25:35;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 15:25:40;2025-06-09 15:25:44;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:36:00;2025-06-09 15:36:02;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:36:20;2025-06-09 15:36:26;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:36:39;2025-06-09 15:36:41;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 15:36:43;2025-06-09 15:36:46;exitoso;;file
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 15:36:50;2025-06-09 15:36:54;exitoso;;25.58 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:37:32;2025-06-09 15:37:34;exitoso;;
