App,Red,tipo_variable,tipo_contenido,Lat. Inicio (inicio app o inicio envio_contenido),Long. Inicio (inicio app o inicio envio_contenido),fecha_hora_inicio_enviado,fecha_hora_fin_enviado,fecha_hora_inicio_entregado,fecha_hora_fin_entregado,Tamano archivo (MB),RESULTADO
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3764176,-66.1566832,17/06/2025 14:17:04,17/06/2025 14:17:08,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3764176,-66.1566832,17/06/2025 14:17:16,17/06/2025 14:17:18,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3764176,-66.1566832,17/06/2025 14:17:26,17/06/2025 14:17:28,17/06/2025 14:17:28,17/06/2025 14:17:28,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3764176,-66.1566832,17/06/2025 14:17:34,17/06/2025 14:17:43,17/06/2025 14:17:43,17/06/2025 14:17:43,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3764176,-66.1566832,17/06/2025 14:17:49,n/a,n/a,n/a,14.0,Timeout
Whatsapp,MOBILE,envio_contenido,documento,-17.3764176,-66.1566832,17/06/2025 14:18:08,17/06/2025 14:18:20,17/06/2025 14:18:20,17/06/2025 14:18:20,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3764176,-66.1566832,17/06/2025 14:18:56,17/06/2025 14:18:59,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3764176,-66.1566832,17/06/2025 14:19:07,17/06/2025 14:19:10,,,n/a,Entregado
Whatsapp,MOBILE,envio_contenido,texto,-17.3764176,-66.1566832,17/06/2025 14:19:17,17/06/2025 14:19:19,17/06/2025 14:19:19,17/06/2025 14:19:19,0.0,Entregado
Whatsapp,MOBILE,envio_contenido,imagen,-17.3764176,-66.1566832,17/06/2025 14:19:27,17/06/2025 14:19:29,17/06/2025 14:19:29,17/06/2025 14:19:29,3.3,Entregado
Whatsapp,MOBILE,envio_contenido,video,-17.3764176,-66.1566832,17/06/2025 14:19:35,17/06/2025 14:19:38,17/06/2025 14:19:38,17/06/2025 14:19:38,14.0,Entregado
Whatsapp,MOBILE,envio_contenido,documento,-17.3764176,-66.1566832,17/06/2025 14:19:45,17/06/2025 14:19:47,17/06/2025 14:19:47,17/06/2025 14:19:47,1.2,Entregado
Whatsapp,MOBILE,tiempo_carga_app,n/a,-17.3764176,-66.1566832,17/06/2025 14:20:21,17/06/2025 14:20:24,n/a,n/a,n/a,APP cargada
Whatsapp,MOBILE,envio_contenido,estado,-17.3764176,-66.1566832,17/06/2025 14:20:32,17/06/2025 14:20:35,,,n/a,Entregado
