2025-06-03 10:47:34,1.33
2025-06-03 10:52:44,1.21
2025-06-03 11:00:32,Tiempo Carga App a For You Page,11.45
2025-06-03 11:05:50,Tiempo Carga App a For You Page,9.06
2025-06-03 11:07:47,Tiempo Carga App a For You Page,9.28
2025-06-03 12:01:06,Tiempo Carga App a For You Page,13.11
2025-06-03 12:01:33,Tiempo Publicación de Post,5.42
2025-06-03 12:19:11,Tiempo Carga App a For You Page,9.79
2025-06-03 12:19:36,Tiempo Publicación de Post,5.51
2025-06-03 12:20:18,Tiempo Envío Mensaje de Texto (Timeout por action_icon),32.84
2025-06-03 12:26:32,Tiempo Carga App a For You Page,11.56
2025-06-03 12:26:58,Tiempo Publicación de Post,4.7
2025-06-03 12:27:11,Tiempo Envío Mensaje de Texto,2.8
2025-06-03 12:27:21,Tiempo Envío Mensaje con Foto,3.93
